{{Mod
|id                               = ImmuneToCursesWithRageUnique__1
|mod_groups                       = ImmuneToCursesWithRage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ImmuneToCursesWithRage
|stat_text                        = Immune to [[Curse|Curses]] while you have at least 25 Rage
|stat1_id                         = immune_to_curses_while_at_least_X_rage
|stat1_min                        = 25
|stat1_max                        = 25
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
