{{Item
|rarity_id                               = normal
|name                                    = Decaying Fragment
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = A void where only terror and emptiness exists; <br>those who attempt to struggle only hasten the assimilation
|drop_level                              = 84
|tags                                    = default
|metadata_id                             = Metadata/Items/MapFragments/CurrencyUberBossKeyUberElder
|help_text                               = Use five of these in a personal Map Device to open Portals to The Shaper's Realm. Can only be used once.
|stack_size                              = 1
|description                             = The Shaper's Realm is level 85<br>The Shaper's and The Elder's full power are unleashed in The Shaper's Realm
|stack_size_currency_tab                 = 5000
}}
