{{Mod
|id                               = MaimOnHitWithRangedAbyssJewelUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MaimOnHitWithRangedAbyssJewel
|mod_type                         = MaimOnHitWithRangedAbyssJewel
|game_mode                        = 0
|stat_text                        = With a Searching Eye Jewel [[Item socket|Socketed]], Maim Enemies for 4 seconds on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = local_attacks_maim_on_hit_for_4_seconds_with_ranged_abyss_jewel_socketed
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
