{{Passive skill
|id                                  = affliction_notable_martial_prowess
|int_id                              = 37
|name                                = Martial Prowess
|is_notable                          = True
|icon                                = IncreasedAttackDamageNotable
|stat1_id                            = attack_damage_+%
|stat1_value                         = 20
|stat2_id                            = attack_speed_+%
|stat2_value                         = 6
|stat3_id                            = accuracy_rating_+%
|stat3_value                         = 15
|stat4_id                            = attack_ailment_damage_+%
|stat4_value                         = 20
|stat_text                           = 20% increased [[Attack Damage]]<br>6% increased [[Attack Speed]]<br>15% increased Global [[Accuracy Rating]]<br>20% increased Damage with Ailments from [[Attack]] [[Skill|Skills]]
}}
