{{Mod
|id                               = CurseAreaOfEffectUnique__3
|mod_groups                       = CurseAreaOfEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = CurseAreaOfEffect
|stat_text                        = 50% increased Area of Effect of Hex [[Skill|Skills]]
|stat1_id                         = curse_area_of_effect_+%
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
