{{Mod
|id                               = DisplaySupportedByIceBiteUnique__2
|mod_groups                       = Supported
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportFrenzyChargeOnSlayingFrozenEnemy
|mod_type                         = DisplaySupportedByIceBite
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Ice Bite Support|Level 15 Ice Bite]]
|stat1_id                         = local_display_socketed_gems_supported_by_x_ice_bite
|stat1_min                        = 15
|stat1_max                        = 15
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
