{{Passive skill
|id                                  = dual_wield_spells_and_block2307
|int_id                              = 13573
|name                                = Dual Wield Attack and Cast Speed and Block
|icon                                = DualWieldNodeDefensive
|stat1_id                            = attack_speed_while_dual_wielding_+%
|stat1_value                         = 4
|stat2_id                            = cast_speed_while_dual_wielding_+%
|stat2_value                         = 4
|stat3_id                            = block_while_dual_wielding_%
|stat3_value                         = 3
|stat_text                           = 4% increased [[Attack Speed]] while [[Dual Wield|Dual Wielding]]<br>4% increased [[Cast Speed]] while [[Dual Wield|Dual Wielding]]<br>+3% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]]
|connections                         = dual_wield_spells_and_block2306,dual_wield_spells_and_block2305
}}
