{{Mod
|id                               = SynthesisImplicitSpellAddedFireDamage4
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (14-17) to (23-31) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 14
|stat1_max                        = 17
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 23
|stat2_max                        = 31
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
