{{Passive skill
|id                                  = affliction_notable_mage_bane
|int_id                              = 24889
|name                                = Mage Bane
|is_notable                          = True
|icon                                = DualWieldingDamage
|stat1_id                            = attack_skills_damage_+%_while_dual_wielding
|stat1_value                         = 20
|stat2_id                            = power_charge_on_block_%_chance
|stat2_value                         = 20
|stat3_id                            = spell_block_while_dual_wielding_%
|stat3_value                         = 5
|stat_text                           = [[Attack]] [[Skill|Skills]] deal 20% increased Damage while [[Dual Wield|Dual Wielding]]<br>20% chance to gain a [[Power Charge]] when you [[Block]]<br>+5% Chance to [[Block]] [[Spell Damage]] while [[Dual Wield|Dual Wielding]]
}}
