{{Mod
|id                               = CountAsHavingMaxPowerChargesUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CountAsHavingMaxPowerCharges
|mod_type                         = CountAsHavingMaxPowerCharges
|game_mode                        = 0
|stat_text                        = Count as having maximum number of [[Power Charge|Power Charges]]
|stat1_id                         = count_as_having_max_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
