{{Mod
|id                               = SynthesisImplicitArcaneSurgeOnHit1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 65
|mod_groups                       = ArcaneSurgeOnHit
|mod_type                         = ArcaneSurgeOnHit
|game_mode                        = 0
|stat_text                        = Gain Arcane Surge on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = gain_arcane_surge_on_hit_%_chance
|stat1_min                        = 100
|stat1_max                        = 100
}}
