{{Passive skill
|id                                  = mace_elemental_damage1825
|int_id                              = 24677
|name                                = Mace Elemental Damage and Accuracy
|icon                                = MaceElemental
|stat1_id                            = mace_elemental_damage_+%
|stat1_value                         = 12
|stat2_id                            = mace_accuracy_rating_+%
|stat2_value                         = 8
|stat_text                           = 12% increased [[Elemental Damage]] with [[Mace|Maces]] or Sceptres<br>8% increased [[Accuracy Rating]] with [[Mace|Maces]] or Sceptres
|connections                         = galvanic_hammer948,mace_elemental_damage1826
}}
