{{Mod
|id                               = GainShapersPresenceUnique__1
|mod_groups                       = GainShapersPresence
|domain                           = 1
|generation_type                  = 3
|required_level                   = 81
|mod_type                         = GainShapersPresence
|stat_text                        = Gain Shaper's Presence for 10 seconds when you [[Kill|kill]] a Rare or Unique Enemy
|stat1_id                         = gain_shapers_presence_for_10_seconds_on_killing_rare_or_unique_monster
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
