{{Mod
|id                               = EinharMasterColdAndLightningResist1_
|mod_groups                       = ColdAndLightningResistance
|domain                           = 9
|generation_type                  = 2
|required_level                   = 30
|name                             = of Craft
|mod_type                         = ColdAndLightningResistance
|stat_text                        = +(10-12)% to Cold and [[Lightning Resistance|Lightning Resistances]]
|stat1_id                         = cold_and_lightning_damage_resistance_%
|stat1_min                        = 10
|stat1_max                        = 12
|tags                             = elemental, cold, lightning, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
