{{Passive skill
|id                                  = affliction_notable_unwavering_focus
|int_id                              = 38275
|name                                = Unwavering Focus
|is_notable                          = True
|icon                                = DmgWhenChannelSkillsNotable
|stat1_id                            = channelled_skill_damage_+%
|stat1_value                         = 30
|stat2_id                            = avoid_stun_%_while_channelling
|stat2_value                         = 50
|stat_text                           = Channelling [[Skill|Skills]] deal 30% increased Damage<br>50% chance to Avoid being Stunned while Channelling
}}
