{{Mod
|id                               = NecropolisCraftingSpellUnnerveOnHit
|domain                           = 1
|generation_type                  = 2
|required_level                   = 38
|name                             = of Haunting
|mod_groups                       = ChanceToUnnerveOnHit
|mod_type                         = SpellUnnerveOnHit
|game_mode                        = 0
|stat_text                        = (15-25)% chance to Unnerve Enemies for 4 seconds on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = chance_to_unnerve_on_hit_with_spells_%
|stat1_min                        = 15
|stat1_max                        = 25
|spawn_weight1_tag                = necropolis_gloves
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = necropolis_exclusive_mod, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
