{{Mod
|id                               = AddedLightningDamageUniqueBodyInt8
|mod_groups                       = LightningDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LightningDamage
|stat_text                        = Adds 1 to 40 [[Lightning Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = attack_maximum_added_lightning_damage
|stat2_min                        = 40
|stat2_max                        = 40
|tags                             = elemental_damage, damage, elemental, lightning, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
