{{Mod
|id                               = VillageMinionBurningCloudOnDeath
|mod_groups                       = MinionBurningCloudOnDeath
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionBurningCloudOnDeath
|stat_text                        = Your [[Minion|Minions]] spread Burning Ground on Death, dealing 10% of their maximum [[Life]] as [[Fire Damage]] per second
|stat1_id                         = minion_fire_cloud_on_death_maximum_life_per_minute_to_deal_as_fire_damage_%
|stat1_min                        = 600
|stat1_max                        = 600
|tags                             = elemental_damage, village_runesmithing_enchant, damage, elemental, fire, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
