{{Mod
|id                               = MapSimulacrumChargeDrain2
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapSimulacrumMonsterAnnoying
|mod_type                         = MapSimulacrumChargeDrain
|game_mode                        = 0
|stat_text                        = Monsters have 10% chance to remove [[Charge|Charges]] on [[Hit]]
|stat1_id                         = map_monsters_remove_charges_on_hit_%
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = endurance_charge, frenzy_charge, power_charge
}}
