{{Passive skill
|id                                  = AscendancyGuardian11
|int_id                              = 61372
|name                                = Harmony of Purpose
|ascendancy_class                    = Guardian
|is_notable                          = True
|icon                                = HarmonyOfPurpose (Guardian)
|stat1_id                            = link_skills_enemies_in_beam_aoe_cannot_inflict_elemental_ailments
|stat1_value                         = 1
|stat2_id                            = link_skills_enemies_in_beam_elemental_resistance_%
|stat2_value                         = -20
|stat3_id                            = link_skills_allies_in_beam_max_elemental_resistance_%
|stat3_value                         = 5
|stat_text                           = Enemies in your Link Beams cannot apply Elemental Ailments<br>Enemies in your Link Beams have -20% to all [[Elemental Resistance|Elemental Resistances]]<br>Linked Targets and Allies in your Link Beams have +5% to all Maximum [[Elemental Resistance|Elemental Resistances]]
|connections                         = AscendancyGuardian8
}}
