{{Passive skill
|id                                  = affliction_notable_master_of_command
|int_id                              = 29540
|name                                = Master of Command
|is_notable                          = True
|icon                                = AuraEffectNotable
|stat1_id                            = banner_skills_mana_reservation_efficiency_+%
|stat1_value                         = 100
|stat2_id                            = non_curse_aura_effect_+%_vs_enemies
|stat2_value                         = 15
|stat_text                           = 100% increased [[Mana Reservation]] Efficiency of Banner [[Skill|Skills]]<br>15% increased Effect of Non-Curse Auras from your [[Skill|Skills]] on Enemies
}}
