{{Mod
|id                               = NecropolisExtraElementalDamage3
|mod_groups                       = NecropolisExtraElementalDamage
|domain                           = 36
|generation_type                  = 34
|required_level                   = 68
|mod_type                         = NecropolisExtraElementalDamage
|stat_text                        = Gain 75% of [[Physical Damage]] as Extra Damage of a random Element<br>Damage Penetrates 10% of Enemy [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = physical_damage_%_to_add_as_random_element
|stat1_min                        = 75
|stat1_max                        = 75
|stat2_id                         = base_penetrate_elemental_resistances_%
|stat2_min                        = 10
|stat2_max                        = 10
|stat3_id                         = monster_necropolis_mod_value_+%
|stat3_min                        = 120
|stat3_max                        = 120
|spawn_weight1_tag                = default
|spawn_weight1_value              = 200
}}
