{{Mod
|id                               = MinionChanceToMaimOnHitUnique__1_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MinionChanceToMaimOnHit
|mod_type                         = MinionChanceToMaimOnHit
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] have 5% chance to Maim Enemies on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = minion_maim_on_hit_%
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = attack, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
