{{Mod
|id                               = WeaponTreeSupportOnslaught2H
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|mod_groups                       = WeaponTreeSupportOnslaught
|granted_skill                    = SupportMomentum
|mod_type                         = WeaponTreeSupportOnslaught
|game_mode                        = 1
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 10 Momentum
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_onslaught
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
