{{Mod
|id                               = SpellAddedFireDamageUniqueWand10
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (4-6) to (8-12) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 4
|stat1_max                        = 6
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 8
|stat2_max                        = 12
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
