{{Base item
|rarity_id                               = normal
|name                                    = The Arena Champion
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The fight is the easy part. It's the years of training that'll kill you.
|drop_level                              = 73
|tags                                    = maps_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheArenaChampion
|stack_size                              = 10
|description                             = {{c|white|Map}}<br>{{c|default|Map Tier:}} {{c|normal|12}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
