{{Mod
|id                               = MercenaryModCurseChillingAreas
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = Infamous
|mod_groups                       = CurseEffect
|mod_type                         = CurseEffectChillingAreas
|game_mode                        = 0
|stat_text                        = [[Curse|Curses]] on Enemies in your Chilling Areas have 15% increased Effect
|stat1_id                         = chilling_areas_also_grant_curse_effect_+%
|stat1_min                        = 15
|stat1_max                        = 15
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = curse
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
