{{Base item
|rarity_id                               = normal
|name                                    = The Offering
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Eternal beauty has a cost, one which Shavronne was happy to pay with the lives of others.
|drop_level                              = 47
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheOffering
|stack_size                              = 8
|description                             = {{c|unique|{{il|html=|Shavronne's Wrappings}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
