{{Mod
|id                               = MapMonsterChainStrDexIntMission
|mod_groups                       = MapMonsterChain
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|name                             = Chaining
|mod_type                         = MapMonsterChain
|stat_text                        = 18% increased Quantity of Items found in this Area<br>Monsters' [[Skill|skills]] Chain 2 additional times
|stat1_id                         = map_item_drop_quantity_+%
|stat1_min                        = 18
|stat1_max                        = 18
|stat2_id                         = map_monster_skills_chain_X_additional_times
|stat2_min                        = 2
|stat2_max                        = 2
}}
