{{Base item
|rarity_id                               = normal
|name                                    = Coveted Possession
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = A taste of power brings a hunger for more.
|drop_level                              = 23
|tags                                    = currency_divination, currency_basic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardCovetedPossession
|stack_size                              = 9
|description                             = {{c|currency|5x {{il|html=|Regal Orb}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
