{{Mod
|id                               = DisableTravelSkillsExceptDashUnique__1
|mod_groups                       = DisableTravelSkills
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DisableTravelSkillsExceptDash
|stat_text                        = Travel [[Skill|Skills]] other than Dash are Disabled
|stat1_id                         = your_travel_skills_except_dash_are_disabled
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = skill
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
