{{Mod
|id                               = AddedFireDamageToSpellsAndAttacksUber2
|mod_groups                       = AddedFireDamageSpellsAndAttacks
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = The Elder's
|mod_type                         = AddedFireDamageSpellsAndAttacks
|stat_text                        = Adds (21-24) to (43-48) [[Fire Damage]] to [[Spell|Spells]] and [[Attack|Attacks]]
|stat1_id                         = spell_and_attack_minimum_added_fire_damage
|stat1_min                        = 21
|stat1_max                        = 24
|stat2_id                         = spell_and_attack_maximum_added_fire_damage
|stat2_min                        = 43
|stat2_max                        = 48
|spawn_weight1_tag                = ring_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, attack, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
