{{Mod
|id                               = MinionDamageDelve
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Underground
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (25-35)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 25
|stat1_max                        = 35
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
