{{Mod
|id                               = GrantAviansAspectToAlliesUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AvianModifiers
|mod_type                         = GrantAviansAspectToAllies
|game_mode                        = 0
|stat_text                        = Aspect of the Avian also grants Avian's Might and Avian's Flight to [[Nearby|nearby]] Allies
|stat1_id                         = aspect_of_the_avian_grants_avians_might_and_avians_flight_to_nearby_allies
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
