{{Mod
|id                               = CriticalStrikesDoNotFreezeUnique___1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CriticalStrikesDoNotFreeze
|mod_type                         = CriticalStrikesDoNotFreeze
|game_mode                        = 0
|stat_text                        = [[Critical strike|Critical Strikes]] do not inherently [[Freeze]]
|stat1_id                         = critical_strikes_do_not_always_freeze
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental, cold, critical, ailment
}}
