{{Passive skill
|id                                  = AscendancyCustomHeirophant14
|int_id                              = 37134
|name                                = Feeding Frenzy
|ascendancy_class                    = Hierophant
|is_notable                          = True
|icon                                = IncreasedMinionDamageNotable
|stat1_id                            = minion_larger_aggro_radius
|stat1_value                         = 1
|stat2_id                            = minions_use_your_main_hand_base_crit_chance_from_weapon
|stat2_value                         = 1
|stat_text                           = [[Minion|Minions]] are Aggressive<br>[[Minion|Minions]]' Base [[Attack]] [[Critical Strike Chance]] is equal to the Critical<br />Strike Chance of your Main Hand Weapon
}}
