{{Mod
|id                               = DelveAbyssJewelMinionDamage1
|mod_groups                       = MinionDamage
|domain                           = 16
|generation_type                  = 1
|required_level                   = 1
|name                             = Subterranean
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (14-16)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 14
|stat1_max                        = 16
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 2000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
