{{Mod
|id                               = FasterPoisonDamageInfluence1
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of the Hunt
|mod_type                         = FasterPoisonDamage
|stat_text                        = [[Poison|Poisons]] you inflict deal Damage (8-12)% faster
|stat1_id                         = faster_poison_%
|stat1_min                        = 8
|stat1_max                        = 12
|spawn_weight1_tag                = sword_basilisk
|spawn_weight1_value              = 500
|spawn_weight2_tag                = claw_basilisk
|spawn_weight2_value              = 500
|spawn_weight3_tag                = dagger_basilisk
|spawn_weight3_value              = 500
|spawn_weight4_tag                = rune_dagger_basilisk
|spawn_weight4_value              = 500
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
|tags                             = chaos_damage, poison, damage, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
