{{Mod
|id                               = PoisonedEnemiesShatterOnKillUnique__1
|mod_groups                       = PoisonedEnemiesShatterOnKill
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PoisonedEnemiesShatterOnKill
|stat_text                        = [[Poison|Poisoned]] Enemies you [[Kill]] with [[Hit|Hits]] Shatter
|stat1_id                         = shatter_on_kill_vs_poisoned_enemies
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
