{{Mod
|id                               = JunMaster2IntelligenceAndAvoidShock2
|mod_groups                       = Intelligence, AvoidShock
|domain                           = 9
|generation_type                  = 2
|required_level                   = 72
|name                             = of the Order
|mod_type                         = IntelligenceAndAvoidShock
|stat_text                        = +(16-20) to [[Intelligence]]<br>(21-25)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = additional_intelligence
|stat1_min                        = 16
|stat1_max                        = 20
|stat2_id                         = base_avoid_shock_%
|stat2_min                        = 21
|stat2_max                        = 25
|spawn_weight1_tag                = body_armour
|spawn_weight1_value              = 0
|spawn_weight2_tag                = shield
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = attribute
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
