{{Mod
|id                               = SupportedByEchoUniqueWand8New_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = DisplaySupportedByEcho
|granted_skill                    = SupportSpellEcho
|mod_type                         = DisplaySupportedByEcho
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Spell Echo Support|Level 10 Spell Echo]]
|stat1_id                         = local_display_socketed_gems_get_echo_level
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
