{{Passive skill
|id                                  = bow_critical_multiplier679
|int_id                              = 30455
|name                                = Projectile Attack Critical Strike Chance and Multiplier
|icon                                = criticalbow
|stat1_id                            = projectile_attack_skill_critical_strike_chance_+%
|stat1_value                         = 10
|stat2_id                            = projectile_attack_skill_critical_strike_multiplier_+
|stat2_value                         = 10
|stat_text                           = Projectile [[Attack]] [[Skill|Skills]] have 10% increased [[Critical Strike Chance]]<br>Projectile [[Attack]] [[Skill|Skills]] have +10% to [[Critical Strike Multiplier]]
|connections                         = heartpierce676,bow_critical_multiplier678,heartpierce676
}}
