{{Passive skill
|id                                  = AscendancyBerserker7
|int_id                              = 32251
|name                                = War Bringer
|ascendancy_class                    = Berserker
|is_notable                          = True
|icon                                = WarBringer (Berserker)
|stat1_id                            = warcries_exert_twice_as_many_attacks
|stat1_value                         = 1
|stat_text                           = Warcries Exert twice as many [[Attack|Attacks]]
|connections                         = AscendancyBerserker6
}}
