{{Mod
|id                               = LifeFlaskPassiveChargeGainUnique__1_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FlaskPassiveChargeGain
|mod_type                         = LifeFlaskPassiveChargeGain
|game_mode                        = 0
|stat_text                        = [[Life]] [[Flask|Flasks]] gain 1 [[Charge]] every 3 seconds
|stat1_id                         = life_flask_charges_recovered_per_3_seconds
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
