{{Mod
|id                               = UniqueTreeWeaponTreeSupportHypothermia
|mod_groups                       = WeaponTreeSupportHypothermia
|domain                           = 1
|generation_type                  = 31
|required_level                   = 1
|granted_skill                    = SupportDamageAgainstChilled
|mod_type                         = WeaponTreeSupportHypothermia
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Hypothermia Support|Level 30 Hypothermia]]
|stat1_id                         = local_display_socketed_gems_supported_by_x_hypothermia
|stat1_min                        = 30
|stat1_max                        = 30
|spawn_weight1_tag                = crucible_unique_staff
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
