{{Mod
|id                               = MinionBurningCloudOnDeathUnique__1
|mod_groups                       = MinionBurningCloudOnDeath
|domain                           = 1
|generation_type                  = 3
|required_level                   = 55
|mod_type                         = MinionBurningCloudOnDeath
|stat_text                        = Your [[Minion|Minions]] spread Burning Ground on Death, dealing 20% of their maximum [[Life]] as [[Fire Damage]] per second
|stat1_id                         = minion_fire_cloud_on_death_maximum_life_per_minute_to_deal_as_fire_damage_%
|stat1_min                        = 1200
|stat1_max                        = 1200
|tags                             = elemental_damage, damage, elemental, fire, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
