{{Mod
|id                               = IncursionMonsterResists3
|mod_groups                       = IncursionMonsterResists
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = IncursionMonsterResists
|stat_text                        = +40% Monster [[Physical Damage]] Reduction<br>+40% Monster [[Elemental Resistance|Elemental Resistances]]<br>+25% Monster [[Chaos Resistance]]
|stat1_id                         = map_monsters_additional_physical_damage_reduction
|stat1_min                        = 40
|stat1_max                        = 40
|stat2_id                         = map_monsters_additional_elemental_resistance
|stat2_min                        = 40
|stat2_max                        = 40
|stat3_id                         = map_monsters_additional_chaos_resistance
|stat3_min                        = 25
|stat3_max                        = 25
|tags                             = elemental, chaos, resistance
}}
