{{Mod
|id                               = VillageShockNearbyEnemyOnShockedKill
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ShockNearbyEnemyOnShockedKill
|mod_type                         = ShockNearbyEnemyOnShockedKill
|game_mode                        = 0
|stat_text                        = When you [[Kill]] a [[Shock|Shocked]] Enemy, inflict an equivalent [[Shock]] on each [[Nearby|nearby]] Enemy
|stat1_id                         = shock_X_nearby_enemies_for_2_s_on_killing_shocked_enemy
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = village_runesmithing_enchant, elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
