{{Mod
|id                               = AnimalCharmMineAuraEffect1
|mod_groups                       = AnimalCharmMineAuraEffect
|domain                           = 35
|generation_type                  = 1
|required_level                   = 1
|name                             = Saboteur's
|mod_type                         = AnimalCharmMineAuraEffect
|stat_text                        = (20-30)% increased Effect of Auras from [[Mine|Mines]]
|stat1_id                         = mine_aura_effect_+%
|stat1_min                        = 20
|stat1_max                        = 30
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 500
|spawn_weight2_tag                = dex_animal_charm
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
