{{Base item
|rarity_id                               = normal
|name                                    = [UNUSED] Conflagration Support
|class_id                                = Support Skill Gem
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 18
|tags                                    = support_gem, gem, default
|metadata_id                             = Metadata/Items/Gems/SupportGemConflagration
|help_text                               = This is a Support Gem. It does not grant a bonus to your character, but to skills in sockets connected to it. Place into an item socket connected to a socket containing the Skill Gem you wish to augment. Right click to remove from a socket.
|strength_percent                        = 100
|gem_tags                                = Critical, Fire, Support, Melee, Attack
|skill_id                                = SupportConflagration
|support_gem_letter                      = c
|required_level                          = 18
|quality_type1_weight                    = 50
|quality_type1_stat_text                 = Supported Skills have 0.5% chance to Ignite
|quality_type1_stat1_id                  = base_chance_to_ignite_%
|quality_type1_stat1_value               = 500
|quality_type2_weight                    = 50
|quality_type2_stat_text                 = Supported Skills have 0.5% reduced Enemy Stun Threshold
|quality_type2_stat1_id                  = base_stun_threshold_reduction_+%
|quality_type2_stat1_value               = 500
|quality_type3_weight                    = 20
|quality_type3_stat_text                 = 1% chance to gain an Endurance Charge when you Stun an Enemy with a Melee Hit from Supported Skills
|quality_type3_stat1_id                  = gain_endurance_charge_on_melee_stun_%
|quality_type3_stat1_value               = 1000
|static_cost_multiplier                  = 120
|static_damage_effectiveness             = 100
|static_damage_multiplier                = 100
|static_attack_speed_multiplier          = 100
|static_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_count_as_coming_from_critical_strike
|static_stat1_value                      = 1
|static_stat2_id                         = support_conflagration_ignites_from_stunning_melee_hits_deal_damage_+%_final_per_200ms_stun
|static_stat2_value                      = 5
|stat_text                               = [DNT] Ignites from Stunning Melee Hits from Supported Skills count as coming from a Critical Strike<br>[DNT] Ignites from Stunning Melee Hits from Supported Skills deal 5% more Damage per 200ms of Stun duration<br>[DNT] Ignites from Stunning Melee Hits from Supported Skills have (20-58)% increased Duration
|level1                                  = True
|level1_level_requirement                = 18
|level1_stat_text                        = [DNT] Ignites from Stunning Melee Hits from Supported Skills have 20% increased Duration
|level1_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_duration_+%
|level1_stat1_value                      = 20
|level2                                  = True
|level2_level_requirement                = 22
|level2_stat_text                        = [DNT] Ignites from Stunning Melee Hits from Supported Skills have 22% increased Duration
|level2_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_duration_+%
|level2_stat1_value                      = 22
|level3                                  = True
|level3_level_requirement                = 26
|level3_stat_text                        = [DNT] Ignites from Stunning Melee Hits from Supported Skills have 24% increased Duration
|level3_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_duration_+%
|level3_stat1_value                      = 24
|level4                                  = True
|level4_level_requirement                = 29
|level4_stat_text                        = [DNT] Ignites from Stunning Melee Hits from Supported Skills have 26% increased Duration
|level4_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_duration_+%
|level4_stat1_value                      = 26
|level5                                  = True
|level5_level_requirement                = 32
|level5_stat_text                        = [DNT] Ignites from Stunning Melee Hits from Supported Skills have 28% increased Duration
|level5_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_duration_+%
|level5_stat1_value                      = 28
|level6                                  = True
|level6_level_requirement                = 35
|level6_stat_text                        = [DNT] Ignites from Stunning Melee Hits from Supported Skills have 30% increased Duration
|level6_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_duration_+%
|level6_stat1_value                      = 30
|level7                                  = True
|level7_level_requirement                = 38
|level7_stat_text                        = [DNT] Ignites from Stunning Melee Hits from Supported Skills have 32% increased Duration
|level7_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_duration_+%
|level7_stat1_value                      = 32
|level8                                  = True
|level8_level_requirement                = 41
|level8_stat_text                        = [DNT] Ignites from Stunning Melee Hits from Supported Skills have 34% increased Duration
|level8_stat1_id                         = support_conflagration_ignites_from_stunning_melee_hits_duration_+%
|level8_stat1_value                      = 34
|level9                                  = True
|level9_level_requirement                = 44
