{{Base item
|rarity_id                               = normal
|name                                    = The Wedding Gift
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The acolytes congratulated the lucky groom for becoming one with the goddess.
|drop_level                              = 53
|tags                                    = weapon_divination, unique_divination, unique_weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheWeddingGift
|stack_size                              = 2
|description                             = {{c|unique|{{il|html=|Arakaali's Fang}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
