{{Base item
|rarity_id                               = normal
|name                                    = Peaceful Moments
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Savour these moments, for they may never return.
|drop_level                              = 68
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardPeacefulMoments
|stack_size                              = 5
|description                             = {{c|unique|{{il|html=|Timeless Jewel}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
