{{Mod
|id                               = CrushOnHitChanceEssence1
|domain                           = 1
|generation_type                  = 2
|required_level                   = 63
|name                             = of the Essence
|mod_groups                       = CrushOnHitChance
|mod_type                         = CrushOnHitChance
|game_mode                        = 0
|stat_text                        = (15-25)% chance to [[Crushed|Crush]] on [[Hit]]
|stat1_id                         = chance_to_crush_on_hit_%
|stat1_min                        = 15
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
