{{Mod
|id                               = JunMasterVeiledMinionLargerAggroRadius
|domain                           = 28
|generation_type                  = 1
|required_level                   = 60
|name                             = Catarina's
|mod_groups                       = MinionLargerAggroRadius
|mod_type                         = MinionLargerAggroRadius
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] are Aggressive
|stat1_id                         = minion_larger_aggro_radius
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = body_armour
|spawn_weight1_value              = 0
|spawn_weight2_tag                = helmet
|spawn_weight2_value              = 0
|spawn_weight3_tag                = flask
|spawn_weight3_value              = 0
|spawn_weight4_tag                = shield
|spawn_weight4_value              = 0
|spawn_weight5_tag                = weapon
|spawn_weight5_value              = 0
|spawn_weight6_tag                = catarina_veiled_prefix
|spawn_weight6_value              = 2000
|spawn_weight7_tag                = default
|spawn_weight7_value              = 0
|tags                             = unveiled_mod, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
