{{Mod
|id                               = TrapCritChanceJewel_
|mod_groups                       = FormCritChance
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = Inescapable
|mod_type                         = TrapCritChanceForJewel
|stat_text                        = (12-16)% increased [[Critical Strike Chance]] with [[Trap|Traps]]
|stat1_id                         = trap_critical_strike_chance_+%
|stat1_min                        = 12
|stat1_max                        = 16
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
