{{Mod
|id                               = IncreasedMinionAttackSpeedUnique__1_
|mod_groups                       = MinionAttackSpeed
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionAttackSpeed
|stat_text                        = [[Minion|Minions]] have (10-15)% increased [[Attack Speed]]
|stat1_id                         = minion_attack_speed_+%
|stat1_min                        = 10
|stat1_max                        = 15
|tags                             = attack, speed, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
