{{Mod
|id                               = AbyssMinionMovementSpeedJewel1
|mod_groups                       = MinionMovementSpeed
|domain                           = 13
|generation_type                  = 2
|required_level                   = 1
|name                             = of Orchestration
|mod_type                         = MinionMovementSpeed
|stat_text                        = [[Minion|Minions]] have (6-10)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = speed, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
