{{Mod
|id                               = AnimalCharmFortifyOnMeleeHitChance2
|mod_groups                       = AnimalCharmFortifyOnMeleeHitChance
|domain                           = 35
|generation_type                  = 2
|required_level                   = 72
|name                             = of the Champion
|mod_type                         = AnimalCharmFortifyOnMeleeHitChance
|stat_text                        = Melee [[Hit|Hits]] have (11-20)% chance to Fortify
|stat1_id                         = chance_to_fortify_on_melee_hit_+%
|stat1_min                        = 11
|stat1_max                        = 20
|spawn_weight1_tag                = dex_animal_charm
|spawn_weight1_value              = 125
|spawn_weight2_tag                = str_animal_charm
|spawn_weight2_value              = 125
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
