{{Passive skill
|id                                  = affliction_notable_hit_and_run
|int_id                              = 62618
|name                                = Hit and Run
|is_notable                          = True
|icon                                = DualWieldingDamage
|stat1_id                            = attack_skills_damage_+%_while_dual_wielding
|stat1_value                         = 25
|stat2_id                            = spell_suppression_chance_%_if_enemy_hit_recently
|stat2_value                         = 10
|stat_text                           = [[Attack]] [[Skill|Skills]] deal 25% increased Damage while [[Dual Wield|Dual Wielding]]<br>+10% chance to Suppress [[Spell Damage]] if you've [[Hit]] an Enemy [[Recently]]
}}
