{{Mod
|id                               = ReservationEfficiencyUnique__5
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ReducedManaReservationsCost
|mod_type                         = ReservationEfficiency
|game_mode                        = 0
|stat_text                        = (5-10)% increased Reservation Efficiency of [[Skill|Skills]]
|stat1_id                         = base_reservation_efficiency_+%
|stat1_min                        = 5
|stat1_max                        = 10
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
