{{Mod
|id                               = AncestorTotemBuffLingersUnique__1
|mod_groups                       = AncestorTotemBuffLingers
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AncestorTotemBuffLingers
|stat_text                        = Buffs from Active Ancestor [[Totem|Totems]] Linger for 4 seconds
|stat1_id                         = ancestor_totem_buff_linger_time_ms
|stat1_min                        = 4000
|stat1_max                        = 4000
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
