{{Mod
|id                               = SpellAddedChaosDamageUniqueWand7
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellAddedChaosDamage
|stat_text                        = Adds (90-130) to (140-190) [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 90
|stat1_max                        = 130
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 140
|stat2_max                        = 190
|tags                             = caster_damage, chaos_damage, damage, chaos, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
