{{Mod
|id                               = SynthesisImplicitSpellAddedFireDamage5
|domain                           = 1
|generation_type                  = 3
|required_level                   = 48
|mod_groups                       = SpellAddedElementalDamage
|mod_type                         = SpellAddedFireDamage
|game_mode                        = 0
|stat_text                        = Adds (18-21) to (31-38) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 18
|stat1_max                        = 21
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 31
|stat2_max                        = 38
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
