{{Mod
|id                               = ManaRegenerationWhileShockedEssence1
|mod_groups                       = ManaRegenerationWhileShocked
|domain                           = 1
|generation_type                  = 2
|required_level                   = 63
|name                             = of the Essence
|mod_type                         = ManaRegenerationWhileShocked
|stat_text                        = 70% increased [[Mana]] Regeneration Rate while [[Shock|Shocked]]
|stat1_id                         = mana_regeneration_rate_+%_while_shocked
|stat1_min                        = 70
|stat1_max                        = 70
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
